provider_id,workload_hours,stress_level,absenteeism_days,satisfaction_score,burnout_risk
P024434,56,6,5,1,56
P024435,60,8,4,1,65
P024436,60,7,2,10,39
P024437,50,10,1,1,64
P024438,51,9,1,10,36
P024439,54,7,3,1,57
P024440,60,9,1,10,45
P024441,60,9,2,10,43
P024442,49,7,5,10,41
P024443,59,6,2,10,33
P024444,42,7,0,1,42
P024445,40,10,2,1,61
P024446,55,8,3,1,62
P024447,43,10,6,1,57
P024448,46,9,3,10,35
P024449,57,10,0,1,61
P024450,37,6,7,1,47
P024451,57,10,4,10,46
P024452,38,10,2,10,34
P024453,47,8,6,1,62
P024454,56,7,0,1,64
P024455,46,6,3,1,47
P024456,53,10,2,10,49
P024457,55,6,3,10,41
P024458,30,7,2,10,16
P024459,49,7,1,1,57
P024460,45,9,1,1,53
P024461,35,10,4,1,54
P024462,44,6,2,10,21
P024463,41,9,6,1,58
P024464,60,7,2,1,62
P024465,56,8,1,10,43
P024466,56,10,4,10,37
P024467,55,6,1,10,28
P024468,50,7,3,10,42
P024469,47,6,0,10,25
P024470,32,8,2,1,40
P024471,52,9,7,10,47
P024472,33,9,1,1,37
P024473,59,10,1,10,47
P024474,47,8,4,10,37
P024475,54,7,3,10,36
P024476,52,6,1,10,34
P024477,59,9,2,10,50
P024478,45,7,2,10,27
P024479,59,8,1,1,64
P024480,49,6,3,1,45
P024481,39,6,2,1,46
P024482,59,8,2,10,38
P024483,41,8,2,1,50
P024484,55,10,1,10,50
P024485,49,10,2,10,34
P024486,55,6,1,1,62
P024487,48,8,2,10,38
P024488,55,8,4,1,58
P024489,47,8,2,1,48
P024490,52,9,6,10,48
P024491,51,9,1,10,41
P024492,55,10,2,1,69
P024493,58,6,4,1,59
P024494,45,6,0,10,18
P024495,50,8,3,10,35
P024496,45,7,3,1,50
P024497,45,10,2,10,40
P024498,47,7,7,10,36
P024499,38,7,3,1,39
P024500,56,7,4,10,37
P024501,60,10,1,10,49
P024502,43,10,3,10,45
P024503,50,10,1,10,44
P024504,50,10,5,10,49
P024505,49,9,4,10,39
P024506,60,9,2,1,66
P024507,52,10,4,1,77
P024508,43,9,3,1,61
P024509,42,9,3,1,58
P024510,59,6,1,1,64
P024511,51,9,4,10,41
P024512,43,9,2,10,36
P024513,41,8,3,10,28
P024514,53,10,2,1,64
P024515,57,9,2,1,72
P024516,53,8,1,1,54
P024517,50,9,3,10,32
P024518,58,10,1,10,45
P024519,60,9,2,1,58
P024520,43,10,5,10,40
P024521,49,8,4,10,36
P024522,39,10,4,10,25
P024523,53,7,6,10,38
P024524,35,7,3,1,42
P024525,49,7,1,10,28
P024526,60,7,2,1,63
P024527,50,8,2,10,39
P024528,31,6,0,10,11
P024529,37,10,1,1,48
P024530,46,10,2,1,59
P024531,53,6,3,10,38
P024532,43,10,4,1,59
P024533,47,6,2,10,29
P024534,60,8,0,10,39
P024535,54,7,2,10,34
P024536,43,8,3,10,30
P024537,52,9,3,10,37
P024538,60,6,4,10,35
P024539,39,6,4,10,13
P024540,59,6,2,1,59
P024541,53,9,2,10,44
P024542,41,8,1,10,22
P024543,49,9,2,1,60
P024544,53,8,3,10,43
P024545,48,6,4,10,33
P024546,49,10,1,1,58
P024547,47,7,3,1,54
P024548,50,6,3,10,38
P024549,44,6,0,10,25
P024550,54,7,2,10,38
P024551,45,10,1,1,55
P024552,42,9,2,10,39
P024553,53,8,3,1,67
P024554,59,10,0,10,40
P024555,54,6,3,10,32
P024556,41,10,0,1,51
P024557,44,6,1,1,41
P024558,38,9,3,10,38
P024559,49,7,2,1,50
P024560,50,6,3,1,57
P024561,44,8,2,10,36
P024562,46,6,3,10,31
P024563,54,6,2,10,33
P024564,45,10,3,10,33
P024565,60,9,1,1,67
P024566,55,7,0,1,60
P024567,49,9,3,10,36
P024568,36,9,4,1,53
P024569,56,9,4,1,69
P024570,56,9,1,10,43
P024571,46,9,1,1,59
P024572,46,7,2,10,37
P024573,59,7,3,10,38
P024574,55,10,3,10,48
P024575,53,10,3,10,45
P024576,51,8,3,10,35
P024577,46,8,1,10,26
P024578,42,10,1,10,25
P024579,42,6,1,10,21
P024580,48,9,1,10,34
P024581,60,9,9,10,51
P024582,38,10,1,1,54
P024583,49,8,2,1,59
P024584,53,8,5,1,63
P024585,47,9,7,10,56
P024586,34,7,4,10,27
P024587,45,8,3,10,31
P024588,32,7,3,10,27
P024589,36,8,5,10,34
P024590,48,6,2,10,19
P024591,41,8,4,10,32
P024592,45,9,1,1,56
P024593,60,9,4,1,76
P024594,56,6,3,1,53
P024595,58,9,2,10,52
P024596,52,10,1,1,60
P024597,50,10,4,10,44
P024598,47,9,3,1,58
P024599,60,7,1,10,29
P024600,48,6,2,10,25
P024601,60,7,2,1,64
P024602,60,8,0,10,36
P024603,33,8,2,10,32
P024604,60,6,2,10,43
P024605,54,10,1,1,73
P024606,58,10,2,10,46
P024607,51,9,1,10,41
P024608,44,6,0,1,37
P024609,56,9,3,1,59
P024610,44,7,2,10,27
P024611,40,6,2,1,46
P024612,60,8,1,10,38
P024613,56,7,3,1,50
P024614,60,6,3,10,37
P024615,43,8,3,10,35
P024616,60,10,2,1,65
P024617,51,6,1,1,46
P024618,49,10,2,1,69
P024619,51,7,1,1,55
P024620,55,9,5,1,63
P024621,49,10,2,10,40
P024622,52,9,1,10,35
P024623,48,6,0,10,32
P024624,53,6,4,10,39
P024625,60,8,2,1,64
P024626,45,8,1,1,50
P024627,53,10,2,1,65
P024628,53,9,3,10,36
P024629,59,6,7,10,32
P024630,54,6,4,1,56
P024631,60,8,1,1,62
P024632,58,10,1,1,59
P024633,54,6,4,10,38
P024634,46,9,0,10,33
P024635,59,9,3,1,70
P024636,51,10,1,1,59
P024637,35,10,0,10,36
P024638,48,7,1,10,32
P024639,45,9,3,1,51
P024640,51,6,0,10,27
P024641,60,10,4,10,55
P024642,38,8,5,1,50
P024643,56,9,3,1,56
P024644,45,10,3,1,60
P024645,49,8,1,1,57
P024646,44,7,3,10,33
P024647,48,7,3,10,33
P024648,51,9,6,10,41
P024649,50,6,1,1,55
P024650,60,10,4,10,50
P024651,42,6,5,10,20
P024652,54,6,4,1,70
P024653,54,7,2,10,39
P024654,51,7,1,1,53
P024655,54,10,2,1,72
P024656,45,10,2,10,31
P024657,49,8,3,1,53
P024658,54,7,2,1,65
P024659,47,7,1,10,33
P024660,60,7,3,10,47
P024661,60,8,1,10,34
P024662,49,10,0,1,73
P024663,49,6,1,10,23
P024664,48,9,2,10,41
P024665,53,8,2,10,28
P024666,39,6,0,10,15
P024667,55,7,1,10,32
P024668,52,9,2,10,32
P024669,45,8,3,1,59
P024670,57,7,3,10,36
P024671,56,8,2,10,43
P024672,51,10,1,10,44
P024673,50,7,2,1,59
P024674,52,8,1,1,53
P024675,46,10,6,10,45
P024676,46,7,3,1,52
P024677,46,9,4,10,48
P024678,60,10,1,10,43
P024679,52,7,4,10,29
P024680,42,9,3,10,35
P024681,43,10,2,10,42
P024682,55,8,0,10,42
P024683,50,7,2,10,27
P024684,54,8,0,10,41
P024685,60,7,2,1,60
P024686,60,8,5,10,40
P024687,41,7,2,10,28
P024688,59,8,3,10,39
P024689,43,10,3,10,39
P024690,45,7,5,1,57
P024691,47,9,2,10,38
P024692,55,8,4,10,40
P024693,60,7,4,1,59
P024694,30,10,6,10,25
P024695,60,6,3,10,41
P024696,35,7,4,1,49
P024697,60,9,5,10,53
P024698,38,7,5,10,30
P024699,45,6,2,1,44
P024700,30,9,4,1,47
P024701,50,7,3,1,60
P024702,33,9,3,10,26
P024703,47,6,2,10,32
P024704,50,10,3,10,31
P024705,45,7,2,10,30
P024706,36,7,1,1,38
P024707,54,6,4,10,41
P024708,49,8,1,10,37
P024709,40,10,2,1,53
P024710,56,10,1,10,44
P024711,59,6,4,10,40
P024712,55,10,2,10,50
P024713,56,6,3,1,59
P024714,38,9,2,1,50
P024715,54,7,2,10,35
P024716,47,6,2,1,52
P024717,40,8,2,1,52
P024718,48,6,2,10,23
P024719,48,10,2,10,47
P024720,40,7,3,1,48
P024721,33,8,3,1,55
P024722,49,10,2,10,37
P024723,30,9,1,10,18
P024724,48,7,1,1,42
P024725,35,7,4,10,22
P024726,55,8,4,1,72
P024727,42,7,7,10,37
P024728,44,6,1,1,44
P024729,60,6,2,10,30
P024730,41,10,4,1,58
P024731,58,9,3,10,43
P024732,54,7,2,10,29
P024733,51,7,5,10,34
P024734,50,8,3,1,65
P024735,49,6,1,10,30
P024736,55,10,1,1,69
P024737,54,7,4,1,62
P024738,59,6,1,1,55
P024739,41,6,0,10,23
P024740,49,7,5,1,66
P024741,31,7,3,1,51
P024742,57,10,3,1,71
P024743,51,7,3,10,35
P024744,51,10,0,1,62
P024745,49,8,1,1,53
P024746,54,6,2,1,62
P024747,51,8,3,10,40
P024748,58,7,5,10,41
P024749,45,9,0,10,37
P024750,53,9,1,10,31
P024751,60,6,0,1,59
P024752,51,10,1,1,60
P024753,47,6,1,10,26
P024754,48,9,4,1,61
P024755,57,8,6,1,63
P024756,46,8,4,10,37
P024757,51,7,2,1,57
P024758,48,9,2,1,63
P024759,50,8,4,1,72
P024760,52,9,4,1,66
P024761,54,10,2,10,45
P024762,55,8,2,10,43
P024763,56,9,4,10,50
P024764,49,9,3,10,47
P024765,47,9,3,10,40
P024766,49,6,3,10,32
P024767,57,6,2,10,43
P024768,51,8,1,10,39
P024769,34,6,3,10,26
P024770,60,9,1,1,65
P024771,60,8,3,10,44
P024772,46,7,1,1,55
P024773,51,7,1,10,36
P024774,49,9,0,10,39
P024775,44,6,5,10,20
P024776,55,10,1,10,41
P024777,40,9,2,10,23
P024778,41,7,2,10,24
P024779,35,6,0,1,41
P024780,39,10,6,10,34
P024781,36,9,3,1,44
P024782,60,10,0,1,70
P024783,48,6,2,10,25
P024784,55,8,0,1,53
P024785,45,9,2,1,66
P024786,36,8,1,10,22
P024787,60,6,0,1,60
P024788,44,6,5,10,26
P024789,60,9,4,10,54
P024790,41,6,3,10,31
P024791,46,9,1,1,62
P024792,60,10,2,10,49
P024793,55,7,1,1,60
P024794,36,10,3,10,38
P024795,33,10,2,1,56
P024796,45,8,0,10,31
P024797,44,6,6,10,32
P024798,41,8,1,1,44
P024799,52,9,2,10,49
P024800,48,8,1,1,50
P024801,60,10,2,1,71
P024802,37,8,1,1,48
P024803,47,9,3,10,36
P024804,42,7,3,1,51
P024805,60,9,0,10,41
P024806,38,10,3,10,39
P024807,45,10,1,1,54
P024808,30,10,2,10,29
P024809,60,6,7,1,67
P024810,36,6,5,1,50
P024811,52,7,3,1,56
P024812,44,7,7,10,28
P024813,41,7,2,1,47
P024814,39,8,3,10,20
P024815,59,6,1,10,38
P024816,41,9,4,10,33
P024817,35,8,3,10,23
P024818,55,8,5,10,36
P024819,60,6,3,10,32
P024820,56,6,2,10,31
P024821,53,8,4,10,44
P024822,50,6,1,10,36
P024823,58,9,2,10,47
P024824,39,7,4,1,45
P024825,53,8,3,10,41
P024826,51,8,1,10,34
P024827,60,6,6,10,44
P024828,39,6,2,1,50
P024829,36,8,3,10,18
P024830,54,10,2,10,47
P024831,49,7,6,10,32
P024832,60,7,0,10,30
P024833,57,9,2,1,67
P024834,60,7,1,10,46
P024835,55,10,2,10,45
P024836,48,8,2,1,56
P024837,37,6,0,10,23
P024838,47,10,3,10,38
P024839,40,8,2,10,31
P024840,47,10,2,10,40
P024841,51,10,2,10,42
P024842,58,9,2,10,47
P024843,47,8,2,1,62
P024844,50,7,3,1,56
P024845,39,6,4,10,18
P024846,44,6,3,1,47
P024847,55,9,4,10,46
P024848,37,7,3,1,47
P024849,41,9,0,10,27
P024850,60,10,1,10,43
P024851,59,7,2,10,32
P024852,48,7,2,10,33
P024853,44,7,2,10,29
P024854,47,10,3,1,60
P024855,46,10,1,10,36
P024856,57,9,2,10,43
P024857,37,6,4,10,18
P024858,38,10,2,1,51
P024859,60,8,1,10,38
P024860,55,9,1,10,41
P024861,58,8,2,1,63
P024862,51,7,1,1,54
P024863,50,9,0,1,61
P024864,51,10,1,1,62
P024865,47,10,1,10,24
P024866,33,10,4,10,23
P024867,45,8,5,1,46
P024868,57,6,5,10,43
P024869,45,10,1,10,39
P024870,54,8,4,10,46
P024871,35,7,1,10,17
P024872,35,7,3,1,43
P024873,46,8,3,1,53
P024874,39,7,2,1,41
P024875,51,8,3,10,36
P024876,54,8,5,10,42
P024877,41,9,3,1,59
P024878,40,6,2,10,36
P024879,60,6,3,10,35
P024880,58,9,3,1,66
P024881,51,6,2,10,32
P024882,53,10,2,10,53
P024883,35,6,5,1,39
P024884,53,6,2,10,30
P024885,49,9,3,1,54
P024886,47,6,5,1,48
P024887,46,8,0,1,52
P024888,47,7,3,1,51
P024889,46,10,2,1,54
P024890,48,7,2,1,61
P024891,40,8,2,1,49
P024892,51,10,0,10,32
P024893,51,8,0,10,33
P024894,45,9,3,10,32
P024895,52,6,2,10,29
P024896,52,6,3,10,36
P024897,55,6,2,1,58
P024898,57,7,3,10,29
P024899,43,8,5,1,53
P024900,42,6,3,10,31
P024901,57,10,3,10,53
P024902,60,6,3,10,32
P024903,43,7,4,10,31
P024904,60,7,3,10,33
P024905,54,7,1,10,36
P024906,44,8,2,1,53
P024907,45,6,4,10,30
P024908,53,10,1,1,68
P024909,58,6,5,10,36
P024910,51,8,5,10,38
P024911,50,8,2,10,31
P024912,42,9,2,1,53
P024913,55,9,2,10,41
P024914,45,8,3,10,28
P024915,56,8,6,1,68
P024916,51,9,2,1,60
P024917,52,8,0,10,29
P024918,56,8,3,1,65
P024919,46,7,3,10,29
P024920,36,9,2,10,22
P024921,56,7,1,10,31
P024922,45,10,3,10,40
P024923,60,6,2,10,32
P024924,54,10,5,1,63
P024925,47,8,6,10,40
P024926,51,9,2,10,36
P024927,44,7,2,10,27
P024928,60,6,5,10,29
P024929,45,6,6,1,46
P024930,51,9,2,10,41
P024931,55,8,3,10,32
P024932,54,10,3,10,48
P024933,60,6,1,10,42
P024934,41,8,2,10,33
P024935,57,8,4,1,60
P024936,60,7,2,1,54
P024937,52,8,2,10,37
P024938,50,9,6,10,52
P024939,53,10,2,10,52
P024940,39,8,4,10,33
P024941,57,6,6,10,39
P024942,43,10,2,10,28
P024943,46,10,4,1,57
P024944,47,9,1,1,57
P024945,52,7,1,1,51
P024946,42,9,4,1,54
P024947,37,6,0,10,22
P024948,38,8,2,10,27
P024949,41,10,4,10,37
P024950,49,8,4,10,42
P024951,52,7,5,1,53
P024952,45,7,1,10,28
P024953,46,6,4,1,54
P024954,35,7,5,1,46
P024955,60,10,2,10,49
P024956,41,9,2,10,35
P024957,42,10,1,10,31
P024958,59,9,2,10,41
P024959,55,6,2,10,29
P024960,60,8,1,1,59
P024961,47,7,2,1,51
P024962,42,8,3,10,34
P024963,45,10,3,10,37
P024964,43,8,2,10,28
P024965,47,8,3,10,37
P024966,48,6,2,10,21
P024967,43,6,1,10,31
P024968,52,10,3,10,34
P024969,50,6,2,10,38
P024970,46,9,4,1,65
P024971,44,6,2,10,22
P024972,49,7,2,10,33
P024973,60,6,2,1,64
P024974,57,7,2,10,32
P024975,53,8,2,1,59
P024976,50,6,1,10,29
P024977,53,10,2,10,39
P024978,56,8,2,10,33
P024979,53,8,1,10,36
P024980,55,9,3,1,56
P024981,48,8,2,1,54
P024982,56,7,5,1,54
P024983,47,8,3,10,32
P024984,44,9,5,10,35
P024985,60,6,2,10,39
P024986,43,7,4,10,35
P024987,58,7,2,1,47
P024988,40,7,4,10,28
P024989,48,10,8,1,71
P024990,48,7,4,1,57
P024991,56,6,3,10,37
P024992,60,7,8,1,72
P024993,50,9,4,10,31
P024994,48,7,6,10,29
P024995,60,7,4,1,59
P024996,45,8,5,1,63
P024997,60,7,2,10,35
P024998,47,8,3,1,51
P024999,52,7,2,10,31
P025000,54,8,1,10,32
P025001,48,7,1,10,28
P025002,32,10,1,10,26
P025003,60,7,1,10,32
P025004,52,6,2,10,37
P025005,37,7,2,1,46
P025006,48,10,2,10,41
P025007,57,6,0,10,33
P025008,48,9,2,1,57
P025009,58,7,4,10,39
P025010,60,9,1,10,47
P025011,52,9,3,1,59
P025012,51,10,6,10,50
P025013,30,10,0,1,47
P025014,53,6,2,10,29
P025015,58,9,0,10,38
P025016,52,7,2,1,53
P025017,47,6,3,1,45
P025018,47,7,1,1,53
P025019,34,8,1,10,16
P025020,60,9,3,10,42
P025021,53,7,5,1,66
P025022,39,6,1,10,26
P025023,55,10,1,1,64
P025024,60,9,6,10,46
P025025,58,6,1,10,37
P025026,44,9,3,1,58
P025027,45,10,6,10,39
P025028,47,7,2,10,28
P025029,58,9,5,10,47
P025030,46,9,1,10,23
P025031,56,9,3,10,51
P025032,46,8,2,10,27
P025033,42,7,3,1,51
P025034,46,6,2,10,23
P025035,52,6,3,1,54
P025036,54,9,3,10,44
P025037,53,6,4,1,61
P025038,46,8,3,1,65
P025039,45,10,2,1,58
P025040,37,8,3,10,28
P025041,39,9,3,10,32
P025042,49,8,3,1,57
P025043,50,10,3,10,52
P025044,51,7,5,10,40
P025045,46,6,2,10,24
P025046,60,10,3,10,42
P025047,42,6,1,1,46
P025048,47,10,3,10,34
P025049,45,9,2,1,53
P025050,54,8,6,1,67
P025051,58,9,2,10,43
P025052,48,8,3,10,45
P025053,53,8,1,10,44
P025054,53,7,1,10,26
P025055,50,10,1,1,51
P025056,37,8,5,10,25
P025057,40,10,2,1,62
P025058,46,7,5,1,58
P025059,60,6,2,10,32
P025060,30,6,3,10,16
P025061,46,9,1,1,60
P025062,50,10,5,1,63
P025063,57,9,5,1,69
P025064,42,7,3,10,31
P025065,44,8,3,1,60
P025066,60,7,3,10,33
P025067,50,10,1,10,38
P025068,59,8,4,10,41
P025069,50,8,4,1,68
P025070,52,7,3,1,54
P025071,48,10,6,10,44
P025072,47,8,1,10,27
P025073,60,10,1,1,63
P025074,58,6,4,10,42
P025075,52,7,2,1,47
P025076,45,9,2,1,59
P025077,60,8,2,1,64
P025078,47,7,3,1,50
P025079,52,10,1,1,55
P025080,52,7,6,10,37
P025081,50,8,2,10,41
P025082,60,6,1,1,50
P025083,41,9,2,1,49
P025084,48,7,2,1,51
P025085,50,6,4,10,36
P025086,54,10,2,10,50
P025087,53,8,3,10,42
P025088,36,10,5,10,33
P025089,51,6,1,10,33
P025090,40,6,2,10,21
P025091,47,7,1,10,34
P025092,57,8,3,10,38
P025093,51,10,2,10,43
P025094,43,6,3,10,29
P025095,47,8,4,10,33
P025096,46,9,2,10,29
P025097,41,7,2,10,23
P025098,58,7,4,10,38
P025099,60,10,1,10,49
P025100,53,9,1,1,59
P025101,41,6,4,1,47
P025102,53,6,1,10,35
P025103,56,6,2,1,53
P025104,42,8,3,1,53
P025105,44,8,3,10,41
P025106,47,6,6,10,39
P025107,43,10,5,1,57
P025108,60,8,2,1,69
P025109,32,10,3,1,40
P025110,60,6,0,1,56
P025111,60,7,1,10,40
P025112,45,7,1,10,25
P025113,60,6,6,10,33
P025114,57,9,5,10,54
P025115,46,8,3,10,36
P025116,55,7,4,10,44
P025117,44,7,1,10,23
P025118,56,8,3,10,49
P025119,60,10,3,1,74
P025120,32,8,6,10,32
P025121,45,8,3,1,60
P025122,54,6,2,10,33
P025123,49,7,3,10,34
P025124,55,7,1,1,52
P025125,49,8,3,1,62
P025126,48,6,3,1,51
P025127,50,10,0,1,54
P025128,60,6,4,10,37
P025129,51,8,4,10,31
P025130,38,6,1,10,10
P025131,60,8,3,1,68
P025132,51,10,2,10,43
P025133,57,9,3,10,45
P025134,45,6,2,10,22
P025135,58,7,2,1,54
P025136,57,10,2,1,62
P025137,55,10,1,10,47
P025138,30,7,2,1,31
P025139,34,10,0,1,46
P025140,54,10,0,10,39
P025141,36,6,4,10,19
P025142,49,6,3,10,29
P025143,37,10,3,10,25
P025144,45,8,1,1,56
P025145,40,10,1,10,31
P025146,60,10,0,1,67
P025147,56,6,3,10,28
P025148,52,6,2,1,56
P025149,50,9,5,10,43
P025150,44,7,3,1,52
P025151,60,8,3,10,39
P025152,40,8,5,1,59
P025153,42,9,2,10,31
P025154,48,7,3,1,61
P025155,53,8,2,10,36
P025156,57,6,3,1,55
P025157,59,7,2,1,65
P025158,45,8,0,10,31
P025159,48,9,1,1,57
P025160,45,8,3,1,44
P025161,41,7,5,1,45
P025162,41,10,5,10,47
P025163,50,8,3,1,57
P025164,56,7,0,1,50
P025165,51,8,2,10,34
P025166,51,10,4,1,63
P025167,51,10,3,1,66
P025168,44,6,4,1,45
P025169,39,9,2,1,52
P025170,42,10,3,10,43
P025171,60,7,7,1,61
P025172,33,6,3,10,13
P025173,51,6,1,1,59
P025174,47,8,2,10,33
P025175,57,7,6,10,38
P025176,52,6,4,1,56
P025177,51,9,3,1,62
P025178,47,7,3,1,45
P025179,54,9,0,10,31
P025180,59,10,7,10,56
P025181,38,9,2,10,37
P025182,31,9,2,10,26
P025183,49,8,2,1,62
P025184,45,6,4,1,49
P025185,60,10,5,10,46
P025186,41,10,2,1,54
P025187,43,7,3,10,28
P025188,32,6,2,1,43
P025189,52,9,4,10,45
P025190,38,10,2,10,34
P025191,54,7,3,1,47
P025192,53,10,4,10,47
P025193,59,6,1,1,54
P025194,60,6,5,10,46
P025195,41,6,3,10,23
P025196,60,6,3,1,54
P025197,39,7,1,1,50
P025198,50,9,7,10,46
P025199,60,9,3,1,74
P025200,47,8,2,10,24
P025201,50,9,2,1,65
P025202,37,6,4,10,28
P025203,50,10,3,10,38
P025204,57,9,6,10,55
P025205,45,9,3,10,38
P025206,51,7,0,1,48
P025207,49,10,4,1,70
P025208,60,10,5,1,74
P025209,54,10,2,1,60
P025210,35,7,3,1,43
P025211,46,8,2,10,36
P025212,60,10,2,1,70
P025213,46,10,3,10,44
P025214,50,8,2,1,56
P025215,55,8,3,10,37
P025216,42,8,2,10,33
P025217,60,8,4,10,36
P025218,60,9,2,10,45
P025219,59,9,5,1,75
P025220,50,8,0,10,23
P025221,38,6,2,1,40
P025222,46,9,2,10,35
P025223,43,7,4,10,24
P025224,52,10,3,1,66
P025225,51,9,2,10,38
P025226,60,10,1,10,44
P025227,60,8,1,10,38
P025228,48,10,3,10,39
P025229,43,8,1,1,52
P025230,56,8,3,10,37
P025231,53,9,5,10,52
P025232,49,8,7,10,37
P025233,50,8,3,1,59
P025234,60,6,2,10,38
P025235,40,6,6,10,28
P025236,60,9,4,1,66
P025237,60,6,2,1,54
P025238,35,6,3,10,17
P025239,60,6,2,10,27
P025240,36,8,2,10,25
P025241,42,9,6,1,59
P025242,46,9,2,1,59
P025243,55,8,2,1,61
P025244,41,7,1,1,58
P025245,55,9,3,10,46
P025246,60,7,2,10,34
P025247,46,6,2,10,33
P025248,60,9,2,10,51
P025249,56,10,7,10,48
P025250,57,6,5,1,54
P025251,56,8,6,10,35
P025252,41,7,1,10,31
P025253,51,8,1,10,39
P025254,46,6,6,10,31
P025255,42,10,3,10,35
P025256,31,8,1,1,43
P025257,48,9,3,1,67
P025258,60,10,8,10,54
P025259,55,8,3,1,61
P025260,60,7,3,10,47
P025261,50,8,5,1,64
P025262,48,7,1,1,39
P025263,54,7,4,10,40
P025264,46,6,6,1,50
P025265,41,6,3,10,24
P025266,55,9,1,10,45
P025267,50,9,2,10,45
P025268,39,8,4,10,24
P025269,36,9,0,1,50
P025270,51,6,1,1,52
P025271,44,9,1,1,54
P025272,52,10,2,10,40
P025273,60,9,3,10,47
P025274,51,9,1,10,33
P025275,60,8,2,10,47
P025276,30,6,2,10,15
P025277,44,10,2,10,43
P025278,53,10,1,1,61
P025279,38,7,1,10,27
P025280,43,6,5,10,31
P025281,60,10,2,10,48
P025282,57,6,2,1,54
P025283,60,10,2,10,45
P025284,53,6,3,1,60
P025285,46,7,3,10,29
P025286,53,10,0,10,36
P025287,44,10,1,1,63
P025288,60,9,1,1,61
P025289,52,6,3,10,33
P025290,41,9,1,10,27
P025291,60,9,7,1,62
P025292,45,9,5,10,43
P025293,48,8,4,10,42
P025294,54,7,3,1,48
P025295,47,8,4,10,32
P025296,52,8,3,10,38
P025297,46,9,1,1,51
P025298,55,8,1,1,64
P025299,52,10,3,1,70
P025300,58,6,2,10,38
P025301,60,6,0,1,51
P025302,39,6,2,10,21
P025303,56,6,3,10,34
P025304,50,6,3,10,30
P025305,55,9,2,1,58
P025306,43,7,1,10,20
P025307,47,7,3,10,27
P025308,52,6,5,10,35
P025309,39,8,1,1,49
P025310,42,10,3,1,66
P025311,48,6,2,1,47
P025312,54,7,1,10,28
P025313,56,8,1,1,59
P025314,55,8,2,10,44
P025315,39,8,2,10,20
P025316,39,7,3,10,24
P025317,30,9,2,1,50
P025318,42,10,3,1,61
P025319,50,10,2,10,37
P025320,49,7,1,10,45
P025321,40,9,3,1,54
P025322,51,8,3,10,38
P025323,46,9,2,10,40
P025324,60,9,6,10,49
P025325,53,6,4,1,55
P025326,53,9,2,1,68
P025327,49,6,1,10,24
P025328,52,10,2,10,40
P025329,58,9,1,10,40
P025330,55,9,1,1,55
P025331,55,10,2,10,52
P025332,49,10,5,10,45
P025333,52,7,4,1,65
P025334,39,7,6,10,23
P025335,54,6,2,10,30
P025336,56,9,1,10,48
P025337,60,10,4,1,69
P025338,44,10,3,1,63
P025339,51,8,3,10,35
P025340,47,8,1,10,29
P025341,57,9,0,1,53
P025342,57,10,2,10,38
P025343,39,9,2,1,54
P025344,60,8,5,10,46
P025345,54,9,5,10,50
P025346,60,6,3,10,37
P025347,46,10,4,10,40
P025348,41,8,4,10,37
P025349,48,10,2,1,57
P025350,60,10,5,1,67
P025351,48,7,4,1,52
P025352,60,7,1,10,27
P025353,60,7,3,1,71
P025354,60,6,3,10,46
P025355,38,10,1,10,31
P025356,47,6,1,1,42
P025357,53,10,3,1,69
P025358,58,10,1,10,44
P025359,58,6,3,10,44
P025360,40,7,0,1,44
P025361,53,8,3,10,38
P025362,58,9,1,1,69
P025363,32,8,3,1,40
P025364,42,7,1,1,46
P025365,35,10,1,10,28
P025366,44,7,3,10,32
P025367,45,8,1,10,36
P025368,55,7,6,1,64
P025369,60,9,5,10,53
P025370,44,10,2,1,50
P025371,60,9,2,1,73
P025372,55,7,1,1,67
P025373,58,10,3,1,70
P025374,45,9,2,10,31
P025375,45,7,5,10,33
P025376,58,7,3,1,59
P025377,45,8,2,1,58
P025378,52,7,2,10,35
P025379,41,7,1,1,49
P025380,54,8,1,1,62
P025381,59,9,2,10,46
P025382,59,10,2,10,39
P025383,58,9,0,1,67
P025384,54,6,1,1,59
P025385,59,6,3,1,65
P025386,38,7,5,10,33
P025387,60,6,1,10,35
P025388,41,6,1,1,41
P025389,41,8,0,1,39
P025390,43,10,2,10,33
P025391,49,9,3,1,51
P025392,53,10,4,10,36
P025393,48,7,1,10,34
P025394,53,9,4,1,70
P025395,55,10,1,1,66
P025396,33,9,2,10,29
P025397,49,9,1,10,33
P025398,52,8,2,10,45
P025399,47,7,3,1,61
P025400,57,10,1,1,57
P025401,47,7,2,1,54
P025402,60,10,1,10,39
P025403,50,9,2,10,39
P025404,42,10,2,1,49
P025405,39,9,1,10,24
P025406,47,7,3,10,37
P025407,53,10,3,10,49
P025408,30,9,2,1,52
P025409,47,8,3,10,29
P025410,55,10,3,10,48
P025411,47,9,5,1,63
P025412,54,8,4,1,62
P025413,46,7,2,1,52
P025414,53,6,3,10,31
P025415,56,10,1,1,63
P025416,52,8,5,10,34
P025417,53,9,2,1,69
P025418,48,8,1,10,23
P025419,60,6,2,10,32
P025420,55,7,4,10,33
P025421,49,7,4,10,30
P025422,53,8,3,1,66
P025423,44,8,1,10,32
P025424,60,10,2,1,70
P025425,60,9,3,1,76
P025426,46,8,2,10,38
P025427,60,9,4,10,42
P025428,47,9,1,10,29
P025429,57,7,3,1,66
P025430,54,8,2,10,56
